ID,trial,trial_type,reported_q,true_q,working_phone
1,0,initialization,0.5,0.5,0
1,1,preattentioncheck,1,0.515344606,
1,2,attentioncheck,,,1
1,3,trial,1,0.523017991,1
1,4,trial,1,0.550642825,1
1,5,trial,0.9,0.58750541,0
1,6,trial,0.8,0.658562232,1
1,7,trial,0.9,0.669036035,1
1,8,trial,1,0.687275447,1
1,9,trial,1,0.664896749,0
1,10,trial,0.5,0.702478693,0
1,11,trial,0.25,0.735979514,0
1,12,trial,0,0.706783251,0
1,13,trial,0.25,0.7179536,1
1,14,trial,0.5,0.734837061,1
1,15,trial,0.75,0.722557857,1
1,16,trial,1,0.755592721,1
1,17,trial,1,0.728178607,1
1,18,trial,0.9,0.742548966,1
1,19,trial,0.8,0.7715253,1
1,20,trial,0.7,0.797509803,0
1,21,preattentioncheck,0.5,0.77935911,
1,22,attentioncheck,,,0
1,23,trial,0.35,0.74225351,1
1,24,trial,0.65,0.733188362,1
1,25,trial,0.85,0.758062461,0
1,26,trial,0.5,0.732103307,1
1,27,trial,0.75,0.744238688,1
1,28,trial,1,0.680005055,1
1,29,trial,0.9,0.673316137,1
1,30,trial,0.8,0.719953666,1
1,31,trial,0.7,0.720935196,0
1,32,trial,0.5,0.73534594,1
1,33,trial,0.75,0.743761716,1
1,34,trial,0.8,0.728300874,1
1,35,trial,0.7,0.718446619,1
1,36,trial,0.6,0.694310363,1
1,37,trial,0.5,0.728725167,1
1,38,trial,0,0.691386684,1
1,39,trial,0,0.703722177,1
1,40,trial,0.25,0.684280379,0
1,41,preattentioncheck,0.5,0.701293327,
1,42,attentioncheck,,,1
1,43,trial,0.85,0.668250795,0
1,44,trial,0.65,0.673795445,1
1,45,trial,0.85,0.663732165,1
1,46,trial,1,0.638166706,1
1,47,trial,0.9,0.627103429,1
1,48,trial,0.8,0.643146627,1
1,49,trial,0.75,0.65035481,1
1,50,trial,0.7,0.671245788,0
1,51,trial,0.5,0.66386096,0
1,52,trial,0.25,0.668398764,0
1,53,trial,0,0.721660906,1
1,54,trial,0.5,0.726073656,1
1,55,trial,0.75,0.694974212,1
1,56,trial,1,0.70982418,1
1,57,trial,1,0.706384488,0
1,58,trial,0.5,0.684864591,0
1,59,trial,0.95,0.703730902,1
1,60,trial,1,0.711100003,1
1,61,preattentioncheck,1,0.718533698,
1,62,attentioncheck,,,0
1,63,trial,0.4,0.705407598,1
1,64,trial,0.75,0.686959393,1
1,65,trial,1,0.713791377,1
1,66,trial,0.9,0.774400286,1
1,67,trial,0.8,0.792655915,1
1,68,trial,0.7,0.806967217,0
1,69,trial,0.5,0.733209487,1
1,70,trial,0.75,0.767263877,0
1,71,trial,0.25,0.831804227,1
1,72,trial,0.75,0.819728329,1
1,73,trial,1,0.79015583,0
1,74,trial,0.75,0.724794999,1
1,75,trial,0.9,0.757272732,1
1,76,trial,1,0.749445585,1
1,77,trial,1,0.763591122,1
1,78,trial,1,0.784977099,1
1,79,trial,0.85,0.782398279,1
1,80,trial,0.7,0.808022446,1
1,81,preattentioncheck,0.5,0.810435046,
1,82,attentioncheck,,,1
1,83,trial,0.3,0.790197232,0
1,84,trial,0,0.789920871,1
1,85,trial,0.5,0.844127027,1
1,86,trial,0.75,0.854639586,1
1,87,trial,0.85,0.83863827,1
1,88,trial,1,0.813526936,1
1,89,trial,0.95,0.791939141,0
1,90,trial,0.85,0.811357441,1
1,91,trial,0.75,0.834161987,1
1,92,trial,0.9,0.855841175,1
1,93,trial,0.75,0.823355547,1
1,94,trial,0.65,0.844035066,1
1,95,trial,0.5,0.866245756,1
1,96,trial,0.4,0.883981621,1
1,97,trial,0.2,0.881964856,0
1,98,trial,0.5,0.896545492,1
1,99,trial,0.4,0.906387517,1
1,100,trial,0.6,0.906531339,1
1,101,trial,0.8,0.885380298,1
1,102,trial,0.75,0.962462633,1
1,103,trial,0.6,0.987362415,1
1,104,trial,0.7,0.986694742,1
1,105,preattentioncheck,0.8,1,
2,0,initialization,0.5,0.5,0
2,1,preattentioncheck,0.4,0.483456948,
2,2,attentioncheck,,,0
2,3,trial,0.4,0.479636219,1
2,4,trial,0.55,0.497258915,0
2,5,trial,0.4,0.501241565,0
2,6,trial,0.3,0.49823118,0
2,7,trial,0.25,0.458511513,0
2,8,trial,0.15,0.414389519,0
2,9,trial,0.1,0.463873194,1
2,10,trial,0.15,0.472904129,0
2,11,trial,0.15,0.503591911,0
2,12,trial,0.12,0.511992222,1
2,13,trial,0.14,0.50331436,0
2,14,trial,0.13,0.537577333,0
2,15,trial,0.1,0.55740352,1
2,16,trial,0.1,0.546679506,0
2,17,trial,0.1,0.499120685,1
2,18,trial,0.15,0.493660263,0
2,19,trial,0.15,0.452988635,0
2,20,trial,0.14,0.46369406,0
2,21,preattentioncheck,0.13,0.485605052,
2,22,attentioncheck,,,0
2,23,trial,0.12,0.549679294,0
2,24,trial,0.11,0.560061875,1
2,25,trial,0.15,0.524496132,1
2,26,trial,0.3,0.542937951,0
2,27,trial,0.25,0.531286612,0
2,28,trial,0.2,0.512882502,1
2,29,trial,0.4,0.577554439,1
2,30,trial,0.55,0.535266968,1
2,31,trial,0.65,0.570851423,1
2,32,trial,0.72,0.539845674,0
2,33,trial,0.65,0.555425078,1
2,34,trial,0.7,0.548577116,0
2,35,trial,0.67,0.563787346,1
2,36,trial,0.68,0.51914561,1
2,37,trial,0.69,0.495226374,1
2,38,trial,0.75,0.548919523,0
2,39,trial,0.72,0.548418496,1
2,40,trial,0.77,0.553517824,0
2,41,preattentioncheck,0.75,0.544398798,
2,42,attentioncheck,,,1
2,43,trial,0.65,0.513746087,0
2,44,trial,0.55,0.532752017,1
2,45,trial,0.6,0.537238594,1
2,46,trial,0.62,0.549139234,1
2,47,trial,0.65,0.579387521,1
2,48,trial,0.68,0.593754832,0
2,49,trial,0.63,0.585772673,0
2,50,trial,0.6,0.598171326,1
2,51,trial,0.63,0.579122263,0
2,52,trial,0.59,0.527034489,1
2,53,trial,0.6,0.522597404,0
2,54,trial,0.52,0.506483398,1
2,55,trial,0.55,0.47099263,1
2,56,trial,0.6,0.453192799,0
2,57,trial,0.58,0.445261992,0
2,58,trial,0.52,0.47989998,0
2,59,trial,0.4,0.497653196,0
2,60,trial,0.29,0.473242227,0
2,61,preattentioncheck,0.19,0.459925686,
2,62,attentioncheck,,,1
2,63,trial,0.48,0.434636994,1
2,64,trial,0.6,0.394264934,1
2,65,trial,0.66,0.337306061,0
2,66,trial,0.59,0.351356002,0
2,67,trial,0.5,0.393738119,0
2,68,trial,0.4,0.367448266,1
2,69,trial,0.45,0.343570261,0
2,70,trial,0.36,0.326425671,0
2,71,trial,0.25,0.281738269,0
2,72,trial,0.2,0.234558662,0
2,73,trial,0.14,0.220147671,0
2,74,trial,0.1,0.261191972,0
2,75,trial,0.08,0.266245225,1
2,76,trial,0.13,0.316455203,0
2,77,trial,0.12,0.314320673,0
2,78,trial,0.11,0.272546274,1
2,79,trial,0.15,0.304038604,0
2,80,trial,0.11,0.318010193,0
2,81,preattentioncheck,0.1,0.294279534,
2,82,attentioncheck,,,1
2,83,trial,0.35,0.229418364,1
2,84,trial,0.58,0.180478163,0
2,85,trial,0.5,0.220377521,0
2,86,trial,0.37,0.16935357,0
2,87,trial,0.27,0.142641823,0
2,88,trial,0.22,0.18576155,0
2,89,trial,0.15,0.196459012,0
2,90,trial,0.11,0.18768342,0
2,91,trial,0.09,0.182217024,0
2,92,trial,0.08,0.176063707,0
2,93,trial,0.05,0.203343043,1
2,94,trial,0.12,0.225501587,0
2,95,trial,0.11,0.272752976,0
2,96,trial,0.1,0.228098684,0
2,97,trial,0.09,0.21313863,0
2,98,trial,0.08,0.215327279,0
2,99,trial,0.05,0.219888808,0
2,100,trial,0.04,0.194129277,0
2,101,trial,0.03,0.211794069,0
2,102,trial,0.03,0.259036581,0
2,103,trial,0.03,0.254933337,1
2,104,trial,0.08,0.252555934,1
2,105,preattentioncheck,0.4,0.272612074,
3,0,initialization,0.5,0.5,0
3,1,preattentioncheck,0.62,0.492502606,
3,2,attentioncheck,,,0
3,3,trial,0.2,0.577424645,0
3,4,trial,0.13,0.579496022,1
3,5,trial,0.43,0.598250073,0
3,6,trial,0.62,0.588359777,1
3,7,trial,0.25,0.581659374,0
3,8,trial,0.59,0.584476901,0
3,9,trial,0.56,0.591334594,1
3,10,trial,0.25,0.621143185,1
3,11,trial,0.12,0.664713225,0
3,12,trial,0.35,0.668295862,1
3,13,trial,0.41,0.664614715,0
3,14,trial,0.6,0.658045472,1
3,15,trial,0.27,0.677044878,0
3,16,trial,0.42,0.70086129,1
3,17,trial,0.37,0.720946378,0
3,18,trial,0.66,0.734832445,1
3,19,trial,0.38,0.733931298,1
3,20,trial,0.36,0.752131306,1
3,21,preattentioncheck,0.28,0.755137946,
3,22,attentioncheck,,,1
3,23,trial,0.23,0.713593503,0
3,24,trial,0.43,0.716154431,1
3,25,trial,0.3,0.752162687,1
3,26,trial,0.18,0.789046134,1
3,27,trial,0.15,0.805505889,1
3,28,trial,0.27,0.807526879,1
3,29,trial,0.58,0.816392246,1
3,30,trial,0.41,0.828778828,1
3,31,trial,0.35,0.841452153,1
3,32,trial,0.34,0.843447973,1
3,33,trial,0.6,0.842765468,1
3,34,trial,0.76,0.840969897,0
3,35,trial,0.54,0.874676892,1
3,36,trial,0.27,0.877291573,1
3,37,trial,0.35,0.86552834,1
3,38,trial,0.42,0.856636405,1
3,39,trial,0.56,0.833965317,0
3,40,trial,0.25,0.812189575,0
3,41,preattentioncheck,0.72,0.828801072,
3,42,attentioncheck,,,0
3,43,trial,0.26,0.856059237,1
3,44,trial,0.41,0.885399268,1
3,45,trial,0.26,0.899755807,1
3,46,trial,0.3,0.87222186,1
3,47,trial,0.6,0.840380996,1
3,48,trial,0.36,0.884000862,1
3,49,trial,0.59,0.884171375,1
3,50,trial,0.34,0.913266943,1
3,51,trial,0.21,0.919129806,1
3,52,trial,0.51,0.891428864,1
3,53,trial,0.57,0.896750742,1
3,54,trial,0.35,0.864510758,1
3,55,trial,0.42,0.840765912,1
3,56,trial,0.59,0.87496821,1
3,57,trial,0.36,0.908757453,1
3,58,trial,0.44,0.907447472,1
3,59,trial,0.62,0.901232996,1
3,60,trial,0.73,0.916952063,1
3,61,preattentioncheck,0.4,0.865644584,
3,62,attentioncheck,,,1
3,63,trial,0.69,0.854434006,1
3,64,trial,0.54,0.843715324,0
3,65,trial,0.59,0.815118047,1
3,66,trial,0.63,0.788989672,1
3,67,trial,0.31,0.731086272,1
3,68,trial,0.66,0.730351224,0
3,69,trial,0.54,0.639920597,1
3,70,trial,0.31,0.593699827,0
3,71,trial,0.74,0.630607156,1
3,72,trial,0.37,0.64250006,1
3,73,trial,0.62,0.640389572,0
3,74,trial,0.8,0.659903623,0
3,75,trial,0.64,0.639589838,0
3,76,trial,0.34,0.626807853,1
3,77,trial,0.27,0.625098776,0
3,78,trial,0.41,0.600749474,1
3,79,trial,0.61,0.578952173,0
3,80,trial,0.72,0.539831651,0
3,81,preattentioncheck,0.53,0.534986684,
3,82,attentioncheck,,,1
3,83,trial,0.38,0.530949465,0
3,84,trial,0.41,0.580974632,0
3,85,trial,0.66,0.649495678,1
3,86,trial,0.83,0.576056372,1
3,87,trial,0.56,0.507838455,1
3,88,trial,0.61,0.503068838,0
3,89,trial,0.69,0.505688143,1
3,90,trial,0.42,0.50125315,0
3,91,trial,0.59,0.506461063,0
3,92,trial,0.59,0.459231226,0
3,93,trial,0.68,0.498104607,1
3,94,trial,0.37,0.520164785,0
3,95,trial,0.41,0.530808612,0
3,96,trial,0.55,0.537561495,1
3,97,trial,0.4,0.502477159,0
3,98,trial,0.47,0.567288297,1
